year,station,stock_type,number
1955,bon bon,sheep,15917
1956,bon bon,sheep,15986
1957,bon bon,sheep,13640
1958,bon bon,sheep,16358
1959,bon bon,sheep,13700
1960,bon bon,sheep,15475
1961,bon bon,sheep,16139
1962,bon bon,sheep,14888
1963,bon bon,sheep,11924
1964,bon bon,sheep,14448
1965,bon bon,sheep,14833
1966,bon bon,sheep,14550
1967,bon bon,sheep,16058
1968,bon bon,sheep,15008
1969,bon bon,sheep,15520
1970,bon bon,sheep,16693
1971,bon bon,sheep,13835
1972,bon bon,sheep,14285
1973,bon bon,sheep,14686
1974,bon bon,sheep,11811
1975,bon bon,sheep,18770
1976,bon bon,sheep,15738
1977,bon bon,sheep,16447
1978,bon bon,sheep,17726
1979,bon bon,sheep,16324
1980,bon bon,sheep,14785
1981,bon bon,sheep,15044
1982,bon bon,sheep,12950
1983,bon bon,sheep,11317
1984,bon bon,sheep,11321
1985,bon bon,sheep,13453
1986,bon bon,sheep,
1987,bon bon,sheep,13858
1988,bon bon,sheep,12516
1989,bon bon,sheep,13180
1990,bon bon,sheep,14731
1991,bon bon,sheep,15266
1992,bon bon,sheep,16569
1993,bon bon,sheep,14833
1994,bon bon,sheep,14371
1995,bon bon,sheep,13696
1996,bon bon,sheep,13830
1997,bon bon,sheep,
1998,bon bon,sheep,
1999,bon bon,sheep,15082
2000,bon bon,sheep,15901
2001,bon bon,sheep,13730
2002,bon bon,sheep,12042
2003,bon bon,sheep,11667
2004,bon bon,sheep,12691
2005,bon bon,sheep,12385
2006,bon bon,sheep,10528
2007,bon bon,sheep,11172
2008,bon bon,sheep,0
2009,bon bon,sheep,0
2010,bon bon,sheep,0
2011,bon bon,sheep,0
2012,bon bon,sheep,0
2013,bon bon,sheep,0
2014,bon bon,sheep,0
2015,bon bon,sheep,0
2016,bon bon,sheep,0
2017,bon bon,sheep,0
2018,bon bon,sheep,0
2019,bon bon,sheep,0
2020,bon bon,sheep,0
2021,bon bon,sheep,0
2022,bon bon,sheep,0
2023,bon bon,sheep,0
